MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,bet365_H,bet365_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A,bwin_H,bwin_A,bet-at-home_H,bet-at-home_A,1xBet_H,1xBet_A,Marathonbet_H,Marathonbet_A,nan_H,nan_A
43,2011-2012,Green Bay Packers,New York Giants,2012-01-15,20.0,37.0,-400.0,0.9322488172093131,-385.0,0.932158248995206,-400.0,0.9322488172093131,-400.0,0.9322488172093131,-400.0,0.9322488172093131,-435.0,0.9324359084283632,Na,Na,Na,Na,Na,Na
44,2011-2012,Baltimore Ravens,Houston Texans,2012-01-15,20.0,13.0,-385.0,0.932158248995206,-345.0,0.9318783426070982,-400.0,0.9322488172093131,-400.0,0.9322488172093131,-417.0,0.9323436032732639,-400.0,0.9322488172093131,Na,Na,Na,Na,Na,Na
45,2011-2012,New England Patriots,Denver Broncos,2012-01-15,45.0,10.0,525.0,0.9363629878005278,-833.0,0.933458840404312,604.0,0.936129322236171,-833.0,0.933458840404312,-1111.0,0.9337389901163181,-833.0,0.933458840404312,Na,Na,Na,Na,Na,Na
46,2011-2012,Buffalo Bills,Miami Dolphins,2011-12-18,23.0,30.0,-105.0,0.9257626520895786,-119.0,0.926791277258567,Na,Na,-125.0,0.9271621421154131,-143.0,0.9280893042575284,Na,Na,Na,Na,Na,Na,Na,Na
47,2011-2012,Chicago Bears,Seattle Seahawks,2011-12-18,14.0,38.0,-227.0,0.9304804066240366,-222.0,0.9303885000628641,-222.0,0.9303885000628641,-222.0,0.9303885000628641,-250.0,0.93085601519157,-200.0,0.9299297903008322,Na,Na,Na,Na,Na,Na
48,2011-2012,Houston Texans,Carolina Panthers,2011-12-18,13.0,28.0,-294.0,0.931411373356566,-278.0,0.9312296921582421,-286.0,0.9313230648995406,-278.0,0.9312296921582421,-303.0,0.9315051647811118,-286.0,0.9313230648995406,Na,Na,Na,Na,Na,Na
49,2011-2012,Indianapolis Colts,Tennessee Titans,2011-12-18,27.0,13.0,240.0,0.9384898134751495,254.0,0.9382734291308041,-286.0,0.9313230648995406,-286.0,0.9313230648995406,200.0,0.9392758183440566,240.0,0.9384898134751495,Na,Na,Na,Na,Na,Na
50,2011-2012,Kansas City Chiefs,Green Bay Packers,2011-12-18,19.0,14.0,550.0,0.9362817697427778,569.0,0.9362248255890483,600.0,0.9361396720390683,550.0,0.9362817697427778,500.0,0.9364523439402168,600.0,0.9361396720390683,Na,Na,Na,Na,Na,Na
51,2011-2012,Los Angeles Rams,Cincinnati Bengals,2011-12-18,13.0,20.0,229.0,0.9386784718806361,231.0,0.9386428281186509,220.0,0.9388469252763196,229.0,0.9386784718806361,229.0,0.9386784718806361,210.0,0.9390511112104815,Na,Na,Na,Na,Na,Na
52,2011-2012,Minnesota Vikings,New Orleans Saints,2011-12-18,20.0,42.0,260.0,0.9381878540757044,264.0,0.938132973241889,200.0,0.9392758183440566,250.0,0.9383327703336711,220.0,0.9388469252763196,240.0,0.9384898134751495,Na,Na,Na,Na,Na,Na
53,2011-2012,New York Giants,Washington Commanders,2011-12-18,10.0,23.0,-312.0,0.9315935624496133,-303.0,0.9315051647811118,-303.0,0.9315051647811118,-303.0,0.9315051647811118,-263.0,0.9310393656188048,-333.0,0.9317812972186468,Na,Na,Na,Na,Na,Na
54,2011-2012,Tampa Bay Buccaneers,Dallas Cowboys,2011-12-18,15.0,31.0,265.0,0.938119512885868,273.0,0.938015393073117,-312.0,0.9315935624496133,260.0,0.9381878540757044,179.0,0.9398298855402709,240.0,0.9384898134751495,Na,Na,Na,Na,Na,Na
55,2011-2012,Atlanta Falcons,Minnesota Vikings,2011-11-27,24.0,14.0,-455.0,0.9325299229381865,-455.0,0.9325299229381865,-500.0,0.9327140112298766,355.0,0.9372194941654787,-455.0,0.9325299229381865,-500.0,0.9327140112298766,Na,Na,Na,Na,Na,Na
56,2011-2012,Cincinnati Bengals,Cleveland Browns,2011-11-27,23.0,20.0,-345.0,0.9318783426070982,-345.0,0.9318783426070982,-370.0,0.9320603572058341,-345.0,0.9318783426070982,-312.0,0.9315935624496133,-400.0,0.9322488172093131,Na,Na,Na,Na,Na,Na
57,2011-2012,Jacksonville Jaguars,Houston Texans,2011-11-27,13.0,20.0,154.0,0.9406878016003908,162.0,0.9403842804899285,140.0,0.9413030323404826,150.0,0.940851784482218,165.0,0.9402780943697288,140.0,0.9413030323404826,Na,Na,Na,Na,Na,Na
58,2011-2012,Los Angeles Rams,Arizona Cardinals,2011-11-27,20.0,23.0,-147.0,0.9282647133114422,-133.0,0.9276049658250801,120.0,0.9424330479855493,-145.0,0.9281782102163615,-500.0,0.9327140112298766,-143.0,0.9280893042575284,Na,Na,Na,Na,Na,Na
59,2011-2012,New York Jets,Buffalo Bills,2011-11-27,28.0,24.0,-357.0,0.9319688821594527,-345.0,0.9318783426070982,-400.0,0.9322488172093131,-385.0,0.932158248995206,-303.0,0.9315051647811118,-400.0,0.9322488172093131,Na,Na,Na,Na,Na,Na
