index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
180;Santos - America MG;Unibet;-667;+600;+1300;Sunday, 11 Dec 2016, 18:00;Final result 1:0 (0:0, 1:0);1;Santos;America MG;11 Dec 2016; 1;0 ;2016
181;Santos - America MG;William Hill;+1300;+1300;+1300;Sunday, 11 Dec 2016, 18:00;Final result 1:0 (0:0, 1:0);1;Santos;America MG;11 Dec 2016; 1;0 ;2016
203;Sport Recife - Figueirense;1xBet;-200;+344;+640;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Sport Recife;Figueirense;11 Dec 2016; 2;0 ;2016
204;Sport Recife - Figueirense;bet-at-home;-294;+368;+656;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Sport Recife;Figueirense;11 Dec 2016; 2;0 ;2016
205;Sport Recife - Figueirense;bet365;-303;+350;+600;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Sport Recife;Figueirense;11 Dec 2016; 2;0 ;2016
206;Sport Recife - Figueirense;bwin;-286;+350;+625;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Sport Recife;Figueirense;11 Dec 2016; 2;0 ;2016
207;Sport Recife - Figueirense;Marathonbet;-200;+330;+660;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Sport Recife;Figueirense;11 Dec 2016; 2;0 ;2016
208;Sport Recife - Figueirense;Pinnacle;-250;+417;+752;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Sport Recife;Figueirense;11 Dec 2016; 2;0 ;2016
209;Sport Recife - Figueirense;Unibet;-286;+375;+650;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Sport Recife;Figueirense;11 Dec 2016; 2;0 ;2016
210;Sport Recife - Figueirense;William Hill;+650;+650;+650;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Sport Recife;Figueirense;11 Dec 2016; 2;0 ;2016
232;Vitoria - Palmeiras;1xBet;+137;+234;+225;Sunday, 11 Dec 2016, 18:00;Final result 1:2 (1:2, 0:0);1;Vitoria;Palmeiras;11 Dec 2016; 1;2 ;2016
233;Vitoria - Palmeiras;bet-at-home;+120;+221;+208;Sunday, 11 Dec 2016, 18:00;Final result 1:2 (1:2, 0:0);1;Vitoria;Palmeiras;11 Dec 2016; 1;2 ;2016
234;Vitoria - Palmeiras;bet365;+120;+210;+200;Sunday, 11 Dec 2016, 18:00;Final result 1:2 (1:2, 0:0);1;Vitoria;Palmeiras;11 Dec 2016; 1;2 ;2016
235;Vitoria - Palmeiras;bwin;+120;+210;+210;Sunday, 11 Dec 2016, 18:00;Final result 1:2 (1:2, 0:0);1;Vitoria;Palmeiras;11 Dec 2016; 1;2 ;2016
236;Vitoria - Palmeiras;Marathonbet;+140;+235;+218;Sunday, 11 Dec 2016, 18:00;Final result 1:2 (1:2, 0:0);1;Vitoria;Palmeiras;11 Dec 2016; 1;2 ;2016
237;Vitoria - Palmeiras;Pinnacle;+104;+257;+292;Sunday, 11 Dec 2016, 18:00;Final result 1:2 (1:2, 0:0);1;Vitoria;Palmeiras;11 Dec 2016; 1;2 ;2016
238;Vitoria - Palmeiras;Unibet;+120;+220;+215;Sunday, 11 Dec 2016, 18:00;Final result 1:2 (1:2, 0:0);1;Vitoria;Palmeiras;11 Dec 2016; 1;2 ;2016
239;Vitoria - Palmeiras;William Hill;+215;+215;+215;Sunday, 11 Dec 2016, 18:00;Final result 1:2 (1:2, 0:0);1;Vitoria;Palmeiras;11 Dec 2016; 1;2 ;2016
261;America MG - Sao Paulo;1xBet;+309;+250;+102;Monday, 31 Oct 2016, 22:00;Final result 1:0 (1:0, 0:0);1;America MG;Sao Paulo;31 Oct 2016; 1;0 ;2016
262;America MG - Sao Paulo;bet-at-home;+208;+206;+127;Monday, 31 Oct 2016, 22:00;Final result 1:0 (1:0, 0:0);1;America MG;Sao Paulo;31 Oct 2016; 1;0 ;2016
263;America MG - Sao Paulo;bet365;+229;+210;+129;Monday, 31 Oct 2016, 22:00;Final result 1:0 (1:0, 0:0);1;America MG;Sao Paulo;31 Oct 2016; 1;0 ;2016
264;America MG - Sao Paulo;bwin;+190;+210;+129;Monday, 31 Oct 2016, 22:00;Final result 1:0 (1:0, 0:0);1;America MG;Sao Paulo;31 Oct 2016; 1;0 ;2016
265;America MG - Sao Paulo;Marathonbet;+315;+250;+100;Monday, 31 Oct 2016, 22:00;Final result 1:0 (1:0, 0:0);1;America MG;Sao Paulo;31 Oct 2016; 1;0 ;2016
266;America MG - Sao Paulo;Pinnacle;+231;+231;+137;Monday, 31 Oct 2016, 22:00;Final result 1:0 (1:0, 0:0);1;America MG;Sao Paulo;31 Oct 2016; 1;0 ;2016
267;America MG - Sao Paulo;Unibet;+229;+220;+114;Monday, 31 Oct 2016, 22:00;Final result 1:0 (1:0, 0:0);1;America MG;Sao Paulo;31 Oct 2016; 1;0 ;2016
268;America MG - Sao Paulo;William Hill;+114;+114;+114;Monday, 31 Oct 2016, 22:00;Final result 1:0 (1:0, 0:0);1;America MG;Sao Paulo;31 Oct 2016; 1;0 ;2016
