index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
348;Los Angeles Galaxy - Chicago Fire;bet-at-home;-154;+229;+315;Saturday, 21 Aug 2004, 21:55;Final result 1:1 (0:0, 1:1);1;Los Angeles Galaxy;Chicago Fire;21 Aug 2004; 1;1 ;2004
349;Los Angeles Galaxy - Chicago Fire;bwin;-167;+225;+450;Saturday, 21 Aug 2004, 21:55;Final result 1:1 (0:0, 1:1);1;Los Angeles Galaxy;Chicago Fire;21 Aug 2004; 1;1 ;2004
350;Los Angeles Galaxy - Chicago Fire;Pinnacle;-149;+235;+400;Saturday, 21 Aug 2004, 21:55;Final result 1:1 (0:0, 1:1);1;Los Angeles Galaxy;Chicago Fire;21 Aug 2004; 1;1 ;2004
351;Los Angeles Galaxy - Chicago Fire;William Hill;-167;+229;+400;Saturday, 21 Aug 2004, 21:55;Final result 1:1 (0:0, 1:1);1;Los Angeles Galaxy;Chicago Fire;21 Aug 2004; 1;1 ;2004
377;New England Revolution - Sporting Kansas City;bwin;+160;+190;+160;Saturday, 21 Aug 2004, 21:55;Final result 1:2 (1:1, 0:1);1;New England Revolution;Sporting Kansas City;21 Aug 2004; 1;2 ;2004
378;New England Revolution - Sporting Kansas City;Pinnacle;+175;+200;+150;Saturday, 21 Aug 2004, 21:55;Final result 1:2 (1:1, 0:1);1;New England Revolution;Sporting Kansas City;21 Aug 2004; 1;2 ;2004
379;New England Revolution - Sporting Kansas City;William Hill;+160;+200;+145;Saturday, 21 Aug 2004, 21:55;Final result 1:2 (1:1, 0:1);1;New England Revolution;Sporting Kansas City;21 Aug 2004; 1;2 ;2004
406;Columbus Crew - Sporting Kansas City;bet-at-home;+140;+190;+150;Wednesday, 18 Aug 2004, 21:55;Final result 2:1 (1:0, 1:1);1;Columbus Crew;Sporting Kansas City;18 Aug 2004; 2;1 ;2004
407;Columbus Crew - Sporting Kansas City;Pinnacle;+140;+200;+190;Wednesday, 18 Aug 2004, 21:55;Final result 2:1 (1:0, 1:1);1;Columbus Crew;Sporting Kansas City;18 Aug 2004; 2;1 ;2004
408;Columbus Crew - Sporting Kansas City;William Hill;+140;+200;+170;Wednesday, 18 Aug 2004, 21:55;Final result 2:1 (1:0, 1:1);1;Columbus Crew;Sporting Kansas City;18 Aug 2004; 2;1 ;2004
435;Los Angeles Galaxy - New York Red Bulls;bet-at-home;-125;+200;+265;Wednesday, 23 Jun 2004, 21:55;Final result 0:3 (0:3, 0:0);1;Los Angeles Galaxy;New York Red Bulls;23 Jun 2004; 0;3 ;2004
436;Los Angeles Galaxy - New York Red Bulls;bwin;-125;+210;+330;Wednesday, 23 Jun 2004, 21:55;Final result 0:3 (0:3, 0:0);1;Los Angeles Galaxy;New York Red Bulls;23 Jun 2004; 0;3 ;2004
437;Los Angeles Galaxy - New York Red Bulls;William Hill;-118;+210;+280;Wednesday, 23 Jun 2004, 21:55;Final result 0:3 (0:3, 0:0);1;Los Angeles Galaxy;New York Red Bulls;23 Jun 2004; 0;3 ;2004
464;Chicago Fire - Houston Dynamo;bet-at-home;+100;+210;+200;Saturday, 19 Jun 2004, 21:55;Final result 1:1 (1:0, 0:1);1;Chicago Fire;Houston Dynamo;19 Jun 2004; 1;1 ;2004
465;Chicago Fire - Houston Dynamo;bwin;+110;+200;+229;Saturday, 19 Jun 2004, 21:55;Final result 1:1 (1:0, 0:1);1;Chicago Fire;Houston Dynamo;19 Jun 2004; 1;1 ;2004
466;Chicago Fire - Houston Dynamo;William Hill;+110;+200;+220;Saturday, 19 Jun 2004, 21:55;Final result 1:1 (1:0, 0:1);1;Chicago Fire;Houston Dynamo;19 Jun 2004; 1;1 ;2004
493;Colorado Rapids - FC Dallas;bet-at-home;+114;+200;+179;Saturday, 19 Jun 2004, 21:55;Final result 1:1 (0:0, 1:1);1;Colorado Rapids;FC Dallas;19 Jun 2004; 1;1 ;2004
494;Colorado Rapids - FC Dallas;bwin;+129;+200;+190;Saturday, 19 Jun 2004, 21:55;Final result 1:1 (0:0, 1:1);1;Colorado Rapids;FC Dallas;19 Jun 2004; 1;1 ;2004
495;Colorado Rapids - FC Dallas;William Hill;+110;+200;+220;Saturday, 19 Jun 2004, 21:55;Final result 1:1 (0:0, 1:1);1;Colorado Rapids;FC Dallas;19 Jun 2004; 1;1 ;2004
522;DC United - Columbus Crew;bet-at-home;+114;+200;+179;Saturday, 19 Jun 2004, 21:55;Final result 3:1 (3:0, 0:1);1;DC United;Columbus Crew;19 Jun 2004; 3;1 ;2004
523;DC United - Columbus Crew;bwin;+125;+200;+200;Saturday, 19 Jun 2004, 21:55;Final result 3:1 (3:0, 0:1);1;DC United;Columbus Crew;19 Jun 2004; 3;1 ;2004
524;DC United - Columbus Crew;William Hill;+120;+200;+200;Saturday, 19 Jun 2004, 21:55;Final result 3:1 (3:0, 0:1);1;DC United;Columbus Crew;19 Jun 2004; 3;1 ;2004
551;New England Revolution - Sporting Kansas City;bwin;+175;+200;+140;Saturday, 19 Jun 2004, 21:55;Final result 1:3 (0:1, 1:2);1;New England Revolution;Sporting Kansas City;19 Jun 2004; 1;3 ;2004
552;New England Revolution - Sporting Kansas City;William Hill;+162;+190;+150;Saturday, 19 Jun 2004, 21:55;Final result 1:3 (0:1, 1:2);1;New England Revolution;Sporting Kansas City;19 Jun 2004; 1;3 ;2004
580;New York Red Bulls - Los Angeles Galaxy;bet-at-home;+140;+190;+154;Saturday, 19 Jun 2004, 20:00;Final result 2:1 (1:0, 1:1);1;New York Red Bulls;Los Angeles Galaxy;19 Jun 2004; 2;1 ;2004
