MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Marathonbet_H,Marathonbet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A
17,2016-2017,Chicago Bears,Tennessee Titans,2016-11-27,21,27,Na,Na,214,0.9389671361502346,225,0.9387516688918558,200,0.9392758183440566,244,0.9384254451751856,222,0.9388083054932971,229,0.9386784718806361,220,0.9388469252763196
18,2016-2017,Cleveland Browns,New York Giants,2016-11-27,13,27,Na,Na,213,0.9389878328337152,240,0.9384898134751495,229,0.9386784718806361,258,0.9382159351249135,237,0.9385395216220497,210,0.9390511112104815,240,0.9384898134751495
19,2016-2017,Indianapolis Colts,Pittsburgh Steelers,2016-11-25,7,28,Na,Na,284,0.937881840097751,325,0.9374639436944733,309,0.9376137880810778,355,0.9372194941654787,361,0.9371754932502595,325,0.9374639436944733,325,0.9374639436944733
20,2016-2017,Dallas Cowboys,Washington Commanders,2016-11-24,31,26,Na,Na,-244,0.9307648292962044,-250,0.93085601519157,-250,0.93085601519157,-227,0.9304804066240366,-233,0.9305855100247622,-244,0.9307648292962044,-263,0.9310393656188048
21,2016-2017,Detroit Lions,Minnesota Vikings,2016-11-24,16,13,Na,Na,-127,0.9272780373831776,-125,0.9271621421154131,-125,0.9271621421154131,-127,0.9272780373831776,-123,0.9270425082906242,-127,0.9272780373831776,-130,0.9274452450595705
22,2016-2017,Atlanta Falcons,Green Bay Packers,2016-10-30,33,32,Na,Na,-169,0.9290819131390873,-167,0.929016466399644,-154,0.9285498944829664,-161,0.9288104303680628,-154,0.9285498944829664,-167,0.929016466399644,-161,0.9288104303680628
23,2016-2017,Denver Broncos,Los Angeles Chargers,2016-10-30,27,19,Na,Na,-189,0.9296606000983767,-185,0.9295548186111948,-200,0.9299297903008322,-185,0.9295548186111948,-179,0.92938733125649,-204,0.9300205151584227,-200,0.9299297903008322
24,2016-2017,Buffalo Bills,New England Patriots,2016-10-30,25,41,Na,Na,191,0.9394982784062961,210,0.9390511112104815,190,0.9395243040102853,225,0.9387516688918558,210,0.9390511112104815,204,0.9391832788545645,220,0.9388469252763196
25,2016-2017,Carolina Panthers,Arizona Cardinals,2016-10-30,30,20,Na,Na,-145,0.9281782102163615,-141,0.9279978939054889,-139,0.9279038718291054,-128,0.9273346373976672,-135,0.9277075316107751,-143,0.9280893042575284,-135,0.9277075316107751
26,2016-2017,Cleveland Browns,New York Jets,2016-10-30,28,31,Na,Na,110,0.9431535625482292,120,0.9424330479855493,120,0.9424330479855493,133,0.9416595865193996,121,0.9423676012461057,106,0.9434801958166444,120,0.9424330479855493
27,2016-2017,Houston Texans,Detroit Lions,2016-10-30,20,13,Na,Na,-127,0.9272780373831776,-120,0.9268556422337221,-128,0.9273346373976672,-118,0.9267258305191235,-109,0.9260832625318607,-120,0.9268556422337221,-130,0.9274452450595705
28,2016-2017,Indianapolis Colts,Kansas City Chiefs,2016-10-30,14,30,Na,Na,120,0.9424330479855493,125,0.9421163702140487,120,0.9424330479855493,135,0.9415539126795927,125,0.9421163702140487,133,0.9416595865193996,129,0.9418808411214952
29,2016-2017,New Orleans Saints,Seattle Seahawks,2016-10-30,25,20,Na,Na,-112,0.9263088247456784,-105,0.9257626520895786,100,0.9440196356084205,-104,0.9256786826880284,-101,0.9254168957302547,-109,0.9260832625318607,100,0.9440196356084205
30,2016-2017,Baltimore Ravens,Washington Commanders,2016-10-09,10,16,Na,Na,-204,0.9300205151584227,-200,0.9299297903008322,-200,0.9299297903008322,-196,0.9298353811850656,-196,0.9298353811850656,-123,0.9270425082906242,-200,0.9299297903008322
31,2016-2017,Cleveland Browns,New England Patriots,2016-10-09,13,33,Na,Na,344,0.9373041606495734,400,0.9369217436113648,400,0.9369217436113648,459,0.9366200057135861,384,0.9370195944462066,117,0.9426361585562358,375,0.9370783147583587
32,2016-2017,Detroit Lions,Philadelphia Eagles,2016-10-09,24,23,Na,Na,145,0.9410695742471443,160,0.9404572973608416,160,0.9404572973608416,164,0.9403130554440686,161,0.9404205607476634,-103,0.9255930984902947,165,0.9402780943697288
33,2016-2017,Indianapolis Colts,Chicago Bears,2016-10-09,29,23,Na,Na,-200,0.9299297903008322,-200,0.9299297903008322,-213,0.9302122456109703,-196,0.9298353811850656,-200,0.9299297903008322,-125,0.9271621421154131,-208,0.9301077672941913
34,2016-2017,San Francisco 49ers,Arizona Cardinals,2016-10-07,21,33,Na,Na,156,0.9406089840217063,170,0.9401094951059005,165,0.9402780943697288,183,0.9397144911163602,169,0.940142412105029,-102,0.9255058524634787,170,0.9401094951059005
35,2016-2017,Minnesota Vikings,New York Giants,2016-10-04,24,10,Na,Na,-192,0.9297370587380758,-185,0.9295548186111948,-189,0.9296606000983767,-182,0.9294724477810121,-189,0.9296606000983767,-123,0.9270425082906242,-189,0.9296606000983767
36,2016-2017,Washington Commanders,Dallas Cowboys,2016-09-18,23,27,Na,Na,-185,0.9295548186111948,-175,0.929269328802039,-167,0.929016466399644,-185,0.9295548186111948,-185,0.9295548186111948,-123,0.9270425082906242,-189,0.9296606000983767
37,2016-2017,Buffalo Bills,New York Jets,2016-09-16,31,37,Na,Na,-119,0.926791277258567,-125,0.9271621421154131,-110,0.9261598046644777,-112,0.9263088247456784,-120,0.9268556422337221,-108,0.9260053159564433,-120,0.9268556422337221
38,2016-2017,San Francisco 49ers,Los Angeles Rams,2016-09-13,28,0,106,0.9434801958166444,110,0.9431535625482292,125,0.9421163702140487,125,0.9421163702140487,131,0.9417685118619696,114,0.9428500537589942,-103,0.9255930984902947,125,0.9421163702140487
39,2016-2017,Washington Commanders,Pittsburgh Steelers,2016-09-12,16,38,141,0.9412550066755674,106,0.9434801958166444,110,0.9431535625482292,120,0.9424330479855493,124,0.942177646075526,120,0.9424330479855493,-104,0.9256786826880284,114,0.9428500537589942
40,2016-2017,Arizona Cardinals,New England Patriots,2016-09-12,21,23,Na,Na,-455,0.9325299229381865,-435,0.9324359084283632,-400,0.9322488172093131,-345,0.9318783426070982,-385,0.932158248995206,-145,0.9281782102163615,-455,0.9325299229381865
