MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,Unibet_H,Unibet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Pinnacle_H,Pinnacle_A,William Hill_H,William Hill_A,Marathonbet_H,Marathonbet_A,1xBet_H,1xBet_A,Coolbet_H,Coolbet_A,Betago_H,Betago_A
3013,2018-2019,Karesi Spor,Bandirma Kirmizi,2018-10-13,113,60,Na,Na,Na,Na,Na,Na,1.4,2.7,Na,Na,Na,Na,1.3,3.34,1.31,3.3,1.21,4.3,Na,Na
3014,2018-2019,Duzce Belediye,Artvin,2018-12-10,74,68,Na,Na,Na,Na,Na,Na,1.85,1.85,Na,Na,Na,Na,1.81,1.93,1.8,1.9,1.96,1.82,Na,Na
3015,2018-2019,OGM Ormanspor,Final Spor,2018-12-10,94,79,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,1.39,2.88,1.31,3.28,1.25,3.8,Na,Na
3016,2018-2019,Ankara D.S.I.,Sigortam.net ITU,2018-12-10,89,73,Na,Na,Na,Na,Na,Na,2.95,1.35,Na,Na,Na,Na,3.46,1.28,3.42,1.29,Na,Na,Na,Na
3017,2019-2020,Gemlik,Mamak Bld.,2020-03-18,88,76,Na,Na,1.65,2.02,Na,Na,1.65,2.1,Na,Na,1.67,2.1,Na,Na,1.76,2.01,1.78,2.01,1.83,1.87
3018,2019-2020,Balikesir,Final Spor,2020-03-18,89,88,Na,Na,1.91,1.74,Na,Na,2.0,1.72,Na,Na,1.95,1.8,Na,Na,2.12,1.61,2.19,1.66,1.95,1.77
3019,2019-2020,Konyaspor,Manisa,2020-03-18,83,67,Na,Na,1.46,2.42,Na,Na,1.48,2.45,Na,Na,1.57,2.3,Na,Na,1.5,2.5,1.5,2.54,1.48,2.5
3020,2019-2020,Yalova Bld.,Bandirma Kirmizi,2020-03-18,97,80,Na,Na,1.44,2.46,Na,Na,1.5,2.4,Na,Na,1.67,2.1,Na,Na,1.54,2.4,1.52,2.49,1.47,2.55
3021,2019-2020,Akhisar Belediye,Bornova,2020-03-17,80,61,Na,Na,1.38,2.82,Na,Na,1.42,2.65,Na,Na,1.36,3.0,1.39,2.85,1.57,2.32,1.41,2.85,1.38,2.8
3022,2019-2020,Fethiye Bld.,Merkezefendi,2020-03-17,88,106,Na,Na,1.65,2.12,Na,Na,1.65,2.1,Na,Na,1.62,2.2,1.66,2.14,1.57,2.32,1.66,2.19,1.65,2.1
3023,2019-2020,Socar Spor,Samsun,2020-03-17,82,67,Na,Na,1.02,9.67,Na,Na,1.03,9.0,Na,Na,Na,Na,Na,Na,1.03,10.5,1.05,9.3,1.02,9.5
