"","Home_id","Away_id","B365_OT_H","B365_OT_D","B365_OT_A","Date","Score_home","Score_away","SEASON","Div"
"135","Sporting Kansas City","Colorado Rapids",1.8,3.1,3.8,"2005-04-02",3,2,2005,"USA"
"136","Chivas USA","DC United",2.75,3,2.25,"2005-04-02",0,2,2005,"USA"
"137","Colorado Rapids","FC Dallas",1.8,3,4.09,"2005-04-09",0,0,2005,"USA"
"138","DC United","Chicago Fire",1.7,3.1,4.4,"2005-04-09",1,1,2005,"USA"
"139","Los Angeles Galaxy","Real Salt Lake",1.75,3.1,4.2,"2005-04-09",3,1,2005,"USA"
"140","New England Revolution","Columbus Crew",2.54,2.85,2.54,"2005-04-09",3,0,2005,"USA"
"141","Houston Dynamo","Chivas USA",1.7,3.1,4.4,"2005-04-09",3,3,2005,"USA"
"142","Columbus Crew","DC United",1.9,3.1,3.5,"2005-04-15",1,0,2005,"USA"
"143","Chicago Fire","Houston Dynamo",2.15,3,3,"2005-04-16",2,1,2005,"USA"
"144","Chivas USA","FC Dallas",2.45,3,2.54,"2005-04-16",1,3,2005,"USA"
"145","New York Red Bulls","Sporting Kansas City",2.1,3.1,3,"2005-04-16",2,2,2005,"USA"
"146","Real Salt Lake","Colorado Rapids",2.45,3,2.54,"2005-04-16",1,0,2005,"USA"
"147","New York Red Bulls","Chicago Fire",1.85,3.1,3.75,"2005-04-22",0,1,2005,"USA"
"148","Colorado Rapids","Columbus Crew",2.35,3,2.7,"2005-04-23",2,0,2005,"USA"
"149","DC United","New England Revolution",1.85,3.1,3.75,"2005-04-23",3,4,2005,"USA"
"150","FC Dallas","Real Salt Lake",1.7,3.2,4.3,"2005-04-23",3,0,2005,"USA"
"151","Los Angeles Galaxy","Chivas USA",1.5,3.6,5.4,"2005-04-23",3,1,2005,"USA"
"152","Real Salt Lake","Houston Dynamo",2.29,3,2.75,"2005-04-30",2,2,2005,"USA"
"153","Sporting Kansas City","DC United",1.9,3.1,3.55,"2005-04-30",0,0,2005,"USA"
"154","Chivas USA","Real Salt Lake",2.2,3,2.9,"2005-05-07",1,0,2005,"USA"
"155","DC United","Columbus Crew",2.1,3,3.1,"2005-05-07",3,1,2005,"USA"
"156","Sporting Kansas City","FC Dallas",2,3,3.35,"2005-05-07",3,3,2005,"USA"
"157","New York Red Bulls","Houston Dynamo",2,3,3.35,"2005-05-07",0,1,2005,"USA"
"158","Colorado Rapids","Chivas USA",1.8,3.2,3.8,"2005-05-14",2,1,2005,"USA"
"159","Columbus Crew","Sporting Kansas City",2.1,3.1,3,"2005-05-14",0,4,2005,"USA"
"160","Real Salt Lake","Chivas USA",1.8,3.2,3.65,"2005-05-18",2,0,2005,"USA"
"161","DC United","Sporting Kansas City",2,3.1,3.2,"2005-05-21",3,2,2005,"USA"
"162","New York Red Bulls","New England Revolution",2.65,3.05,2.29,"2005-05-21",2,2,2005,"USA"
"163","Columbus Crew","New York Red Bulls",2.2,3.1,2.8,"2005-05-28",0,3,2005,"USA"
