MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_D,1xBet_A,bet-at-home_H,bet-at-home_D,bet-at-home_A,bet365_H,bet365_D,bet365_A,bwin_H,bwin_D,bwin_A,Marathonbet_H,Marathonbet_D,Marathonbet_A,Pinnacle_H,Pinnacle_D,Pinnacle_A,Unibet_H,Unibet_D,Unibet_A,William Hill_H,William Hill_D,William Hill_A
51,2016,Flamengo RJ,America MG,2016-07-25,2,1,-169,296,600,-192,283,484,-189,275,475,-189,270,475,-175,296,630,-250,383,847,-250,340,650,650,650,650
52,2016,Santos,Ponte Preta,2016-07-16,3,1,-122,250,430,-182,268,480,-189,260,450,-189,270,475,-125,250,440,-213,355,705,-200,300,500,500,500,500
53,2016,Palmeiras,Santos,2016-07-12,1,1,102,240,328,-109,220,290,100,229,240,-111,225,275,100,240,333,123,246,247,110,220,240,240,240,240
54,2016,Sport Recife,Palmeiras,2016-07-04,1,3,200,240,152,187,212,138,200,220,140,185,210,135,202,240,150,206,231,150,170,220,145,145,145,145
55,2016,Figueirense,Atletico-MG,2016-07-03,1,1,177,229,179,166,209,156,210,220,129,160,210,154,177,229,177,235,235,134,165,220,154,154,154,154
56,2016,Botafogo RJ,Santa Cruz,2016-07-03,2,1,112,240,290,-105,222,276,-125,240,375,-105,210,275,110,240,292,-133,285,419,100,220,260,260,260,260
57,2016,Corinthians,Flamengo RJ,2016-07-03,4,0,-103,250,334,-116,220,315,-125,240,375,-120,220,320,-105,250,340,-109,249,359,-111,229,285,285,285,285
58,2016,Ponte Preta,Sao Paulo,2016-07-03,1,0,200,240,152,-127,237,324,100,229,280,-125,225,325,202,240,150,110,231,299,-133,240,340,340,340,340
59,2016,Santos,Chapecoense-SC,2016-07-03,3,0,-161,290,565,-185,259,514,-200,290,600,-189,260,500,-167,290,590,-200,345,646,-182,280,475,475,475,475
60,2016,Cruzeiro,Vitoria,2016-07-03,2,2,-196,330,680,-196,278,511,-227,320,650,-200,275,500,-200,330,690,-217,363,705,-182,280,475,475,475,475
61,2016,Internacional,Gremio,2016-07-03,0,1,131,229,246,114,208,234,114,220,250,110,210,229,129,229,248,131,224,252,120,210,220,220,220,220
62,2016,Fluminense,Corinthians,2016-06-16,1,0,175,240,174,185,204,143,200,240,129,185,225,125,175,240,172,229,217,147,179,220,140,140,140,140
63,2016,Internacional,Atletico-MG,2016-06-16,2,0,102,250,309,-110,235,275,-110,240,300,-115,229,280,100,250,315,102,246,316,-111,229,300,300,300,300
64,2016,Coritiba,Palmeiras,2016-06-16,2,2,177,229,179,159,206,165,175,240,145,165,229,140,177,229,177,206,220,159,179,220,145,145,145,145
65,2016,Cruzeiro,Flamengo RJ,2016-06-16,0,1,-109,260,344,114,210,229,110,210,280,104,195,260,-111,260,350,124,236,254,114,220,229,229,229,229
66,2016,Botafogo RJ,America MG,2016-06-16,3,1,131,240,236,-115,217,318,Na,Na,Na,-105,190,309,129,240,236,-115,256,375,-118,240,300,-118,220,320
67,2016,Santa Cruz,Figueirense,2016-06-16,1,0,-122,270,390,-119,224,318,-120,240,350,-128,229,325,-125,270,400,100,246,325,-105,229,270,270,270,270
68,2016,Santos,Sport Recife,2016-06-16,2,0,-139,270,484,-172,270,430,-175,280,500,-182,260,450,-143,270,500,-196,332,661,-182,280,500,500,500,500
69,2016,Chapecoense-SC,Gremio,2016-06-15,3,3,200,240,152,158,196,174,175,229,150,165,220,145,202,240,150,191,211,177,160,215,160,160,160,160
70,2016,Ponte Preta,Athletico-PR,2016-06-15,3,2,122,240,260,102,214,264,100,229,280,-105,220,260,120,240,262,104,236,317,104,220,250,250,250,250
71,2016,Sao Paulo,Vitoria,2016-06-15,2,0,-161,290,565,-192,282,487,-200,280,650,-208,260,600,-167,290,590,-222,351,763,-200,300,500,500,500,500
72,2016,Palmeiras,Corinthians,2016-06-12,1,0,167,229,188,141,209,184,140,210,188,140,200,185,165,229,188,156,227,204,150,220,165,165,165,165
73,2016,Atletico-MG,Gremio,2016-05-27,0,3,102,250,309,104,212,254,-105,240,280,-105,225,260,100,250,315,102,240,320,-105,225,300,300,300,300
74,2016,Internacional,Sport Recife,2016-05-26,1,0,-149,300,475,-196,269,541,-175,280,500,-189,270,475,-154,300,490,-182,308,633,-182,270,550,550,550,550
75,2016,Corinthians,Ponte Preta,2016-05-26,3,0,-175,300,640,-175,252,492,-167,270,500,-175,250,475,-182,300,670,-159,282,578,-182,250,600,600,600,600
76,2016,Coritiba,Sao Paulo,2016-05-26,1,1,200,240,152,136,206,193,150,229,175,145,220,165,202,240,150,148,225,218,200,220,135,135,135,135
77,2016,Palmeiras,Fluminense,2016-05-26,2,0,-122,270,390,-119,221,326,-120,260,320,-125,240,300,-125,270,400,-109,257,346,-111,240,300,300,300,300
78,2016,Santa Cruz,Cruzeiro,2016-05-26,4,1,209,250,142,131,216,193,138,240,188,129,229,175,210,250,140,144,235,214,154,229,165,165,165,165
79,2016,America MG,Vitoria,2016-05-26,1,1,-109,250,363,-101,223,261,-105,240,280,-110,229,260,-111,250,370,104,247,305,-105,225,300,300,300,300
80,2016,Flamengo RJ,Chapecoense-SC,2016-05-26,2,2,-139,274,480,-152,247,404,-154,275,425,-161,260,400,-143,275,490,-143,275,482,-143,250,400,400,400,400
81,2016,Figueirense,Ponte Preta,2016-05-15,0,0,125,229,258,110,219,231,110,220,229,110,220,225,124,229,260,122,227,270,110,220,240,240,240,240
